Episode 200	Average Score: 4.73
Episode 200	Average Score: 4.73
Episode 201	Average Score: 4.78
Episode 202	Average Score: 4.85
Episode 203	Average Score: 4.91
Episode 204	Average Score: 4.90
Episode 205	Average Score: 5.01
Episode 206	Average Score: 5.09
Episode 207	Average Score: 5.13
Episode 208	Average Score: 5.14
Episode 209	Average Score: 5.18
Episode 210	Average Score: 5.22
Episode 211	Average Score: 5.21
Episode 212	Average Score: 5.20
Episode 213	Average Score: 5.28
Episode 214	Average Score: 5.31
Episode 215	Average Score: 5.31
Episode 216	Average Score: 5.37
Episode 217	Average Score: 5.40
Episode 218	Average Score: 5.49
Episode 219	Average Score: 5.49
Episode 220	Average Score: 5.50
Episode 221	Average Score: 5.55
Episode 222	Average Score: 5.61
Episode 223	Average Score: 5.64
Episode 224	Average Score: 5.69
Episode 225	Average Score: 5.68
Episode 226	Average Score: 5.75
Episode 227	Average Score: 5.83
Episode 228	Average Score: 5.85
Episode 229	Average Score: 5.85
Episode 230	Average Score: 5.88
Episode 231	Average Score: 5.96
Episode 232	Average Score: 6.03
Episode 233	Average Score: 6.07
Episode 234	Average Score: 6.05
Episode 235	Average Score: 6.06
Episode 236	Average Score: 6.13
Episode 237	Average Score: 6.11
Episode 238	Average Score: 6.06
Episode 239	Average Score: 6.06
Episode 240	Average Score: 6.15
Episode 241	Average Score: 6.16
Episode 242	Average Score: 6.20
Episode 243	Average Score: 6.24
Episode 244	Average Score: 6.29
Episode 245	Average Score: 6.31
Episode 246	Average Score: 6.30
Episode 247	Average Score: 6.41
Episode 248	Average Score: 6.43
Episode 249	Average Score: 6.51
Episode 250	Average Score: 6.58
Episode 251	Average Score: 6.60
Episode 252	Average Score: 6.62
Episode 253	Average Score: 6.60
Episode 254	Average Score: 6.67
Episode 255	Average Score: 6.69
Episode 256	Average Score: 6.69
Episode 257	Average Score: 6.81
Episode 258	Average Score: 6.84
Episode 259	Average Score: 6.87
Episode 260	Average Score: 6.84
Episode 261	Average Score: 6.79
Episode 262	Average Score: 6.85
Episode 263	Average Score: 6.92
Episode 264	Average Score: 6.99
Episode 265	Average Score: 6.96
Episode 266	Average Score: 6.97
Episode 267	Average Score: 6.91
Episode 268	Average Score: 6.84
Episode 269	Average Score: 6.88
Episode 270	Average Score: 6.89
Episode 271	Average Score: 6.89
Episode 272	Average Score: 6.88
Episode 273	Average Score: 6.85
Episode 274	Average Score: 6.89
Episode 275	Average Score: 6.87
Episode 276	Average Score: 6.94
Episode 277	Average Score: 6.83
Episode 278	Average Score: 6.89
Episode 279	Average Score: 6.98
Episode 280	Average Score: 6.95
Episode 281	Average Score: 6.95
Episode 282	Average Score: 7.00
Episode 283	Average Score: 6.97
Episode 284	Average Score: 6.94
Episode 285	Average Score: 6.89
Episode 286	Average Score: 6.97
Episode 287	Average Score: 7.03
Episode 288	Average Score: 7.12
Episode 289	Average Score: 7.09
Episode 290	Average Score: 7.11
Episode 291	Average Score: 7.16
Episode 292	Average Score: 7.22
Episode 293	Average Score: 7.17
Episode 294	Average Score: 7.17
Episode 295	Average Score: 7.17
Episode 296	Average Score: 7.20
Episode 297	Average Score: 7.21
Episode 298	Average Score: 7.17
Episode 299	Average Score: 7.21
Episode 300	Average Score: 7.22
Episode 300	Average Score: 7.22
Episode 301	Average Score: 7.23
Episode 302	Average Score: 7.21
Episode 303	Average Score: 7.18
Episode 304	Average Score: 7.18
Episode 305	Average Score: 7.10
Episode 306	Average Score: 7.13
Episode 307	Average Score: 7.18
Episode 308	Average Score: 7.21
Episode 309	Average Score: 7.16
Episode 310	Average Score: 7.17
Episode 311	Average Score: 7.22
Episode 312	Average Score: 7.33
Episode 313	Average Score: 7.37
Episode 314	Average Score: 7.38
Episode 315	Average Score: 7.46
Episode 316	Average Score: 7.45
Episode 317	Average Score: 7.53
Episode 318	Average Score: 7.53
Episode 319	Average Score: 7.60
Episode 320	Average Score: 7.62
Episode 321	Average Score: 7.66
Episode 322	Average Score: 7.63
Episode 323	Average Score: 7.66
Episode 324	Average Score: 7.66
Episode 325	Average Score: 7.77
Episode 326	Average Score: 7.73
Episode 327	Average Score: 7.71
Episode 328	Average Score: 7.79
Episode 329	Average Score: 7.75
Episode 330	Average Score: 7.72
Episode 331	Average Score: 7.72
Episode 332	Average Score: 7.69
Episode 333	Average Score: 7.68
Episode 334	Average Score: 7.67
Episode 335	Average Score: 7.68
Episode 336	Average Score: 7.67
Episode 337	Average Score: 7.72
Episode 338	Average Score: 7.80
Episode 339	Average Score: 7.80
Episode 340	Average Score: 7.75
Episode 341	Average Score: 7.80
Episode 342	Average Score: 7.83
Episode 343	Average Score: 7.80
Episode 344	Average Score: 7.88
Episode 345	Average Score: 7.86
Episode 346	Average Score: 7.91
Episode 347	Average Score: 7.85
Episode 348	Average Score: 7.90
Episode 349	Average Score: 7.85
Episode 350	Average Score: 7.82
Episode 351	Average Score: 7.78
Episode 352	Average Score: 7.80
Episode 353	Average Score: 7.83
Episode 354	Average Score: 7.85
Episode 355	Average Score: 7.83
Episode 356	Average Score: 7.89
Episode 357	Average Score: 7.91
Episode 358	Average Score: 7.88
Episode 359	Average Score: 7.97
Episode 360	Average Score: 8.02
Episode 361	Average Score: 8.11
Episode 362	Average Score: 8.11
Episode 363	Average Score: 8.14
Episode 364	Average Score: 8.10
Episode 365	Average Score: 8.15
Episode 366	Average Score: 8.15
Episode 367	Average Score: 8.11
Episode 368	Average Score: 8.21
Episode 369	Average Score: 8.11
Episode 370	Average Score: 8.10
Episode 371	Average Score: 8.09
Episode 372	Average Score: 8.12
Episode 373	Average Score: 8.17
Episode 374	Average Score: 8.24
Episode 375	Average Score: 8.32
Episode 376	Average Score: 8.34
Episode 377	Average Score: 8.38
Episode 378	Average Score: 8.40
Episode 379	Average Score: 8.38
Episode 380	Average Score: 8.46
Episode 381	Average Score: 8.49
Episode 382	Average Score: 8.51
Episode 383	Average Score: 8.58
Episode 384	Average Score: 8.69
Episode 385	Average Score: 8.65
Episode 386	Average Score: 8.69
Episode 387	Average Score: 8.76
Episode 388	Average Score: 8.75
Episode 389	Average Score: 8.82
Episode 390	Average Score: 8.85
Episode 391	Average Score: 8.88
Episode 392	Average Score: 8.90
Episode 393	Average Score: 8.88
Episode 394	Average Score: 8.91
Episode 395	Average Score: 8.98
Episode 396	Average Score: 8.94
Episode 397	Average Score: 9.01
Episode 398	Average Score: 9.15
Episode 399	Average Score: 9.18
Episode 400	Average Score: 9.24
Episode 400	Average Score: 9.24
Episode 401	Average Score: 9.33
Episode 402	Average Score: 9.40
Episode 403	Average Score: 9.46
Episode 404	Average Score: 9.53
Episode 405	Average Score: 9.61
Episode 406	Average Score: 9.62
Episode 407	Average Score: 9.60
Episode 408	Average Score: 9.56
Episode 409	Average Score: 9.60
Episode 410	Average Score: 9.58
Episode 411	Average Score: 9.59
Episode 412	Average Score: 9.55
Episode 413	Average Score: 9.54
Episode 414	Average Score: 9.61
Episode 415	Average Score: 9.53
Episode 416	Average Score: 9.53
Episode 417	Average Score: 9.57
Episode 418	Average Score: 9.55
Episode 419	Average Score: 9.55
Episode 420	Average Score: 9.63
Episode 421	Average Score: 9.57
Episode 422	Average Score: 9.67
Episode 423	Average Score: 9.69
Episode 424	Average Score: 9.70
Episode 425	Average Score: 9.71
Episode 426	Average Score: 9.79
Episode 427	Average Score: 9.78
Episode 428	Average Score: 9.80
Episode 429	Average Score: 9.89
Episode 430	Average Score: 9.89
Episode 431	Average Score: 9.89
Episode 432	Average Score: 9.93
